track_id,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,rn,playlists_total_outros,charts_total_outros,presenca_total_outros
7691321,14,116,9,0,11,1,23,127,150
6599493,118,116,96,0,3,1,214,119,333
5904115,53,120,62,0,2,1,115,122,237
4002890,108,120,73,0,0,1,181,120,301
5810373,41,122,394,0,2,1,435,124,559
7456153,92,122,1282,0,55,1,1374,177,1551
7345306,237,123,569,0,10,1,806,133,939
6792432,33,123,7,0,4,1,40,127,167
8055412,28,124,13,0,1,1,41,125,166
8408827,440,125,1800,0,0,1,2240,125,2365
1121286,10,126,7,0,148,1,17,274,291
6261319,111,127,210,0,37,1,321,164,485
3612400,92,127,1219,0,62,1,1311,189,1500
2357691,20,129,11,0,12,1,31,141,172
5095829,2,129,13,0,1,1,15,130,145
3181974,363,129,3895,0,28,1,4258,157,4415
6163158,205,130,625,0,25,1,830,155,985
4490744,387,132,2094,0,0,1,2481,132,2613
5477581,5,132,17,0,3,1,22,135,157
5737293,138,133,283,0,0,1,421,133,554
5459112,77,134,74,0,2,1,151,136,287
8452012,180,135,223,0,5,1,403,140,543
5724140,14,141,9,0,1,1,23,142,165
6002262,110,145,447,0,46,1,557,191,748
5831523,315,159,2179,0,44,1,2494,203,2697
3745752,239,163,583,0,0,1,822,163,985
8576945,191,168,206,0,0,1,397,168,565
3153550,133,181,3,0,0,1,136,181,317
3555344,6,188,20,0,0,1,26,188,214
6373026,38,266,78,0,141,1,116,407,523
8126826,13,0,113,1,3,1,126,4,130
8715137,13,0,32,1,0,1,45,1,46
8569518,45,0,99,1,1,1,144,2,146
7503630,23,1,44,1,0,1,67,2,69
8987545,3,1,36,1,37,1,39,39,78
3076130,29,2,35,1,0,1,64,3,67
4165407,7,2,30,1,11,1,37,14,51
6046483,22,2,65,1,3,1,87,6,93
7996425,11,3,18,1,1,1,29,5,34
3885692,20,4,15,1,3,1,35,8,43
3833877,48,4,34,1,0,1,82,5,87
2773298,81,4,248,1,6,1,329,11,340
8454029,93,5,67,1,0,1,160,6,166
2439081,111,5,182,1,0,1,293,6,299
3461405,10,6,7,1,9,1,17,16,33
5229182,5,6,4,1,33,1,9,40,49
4389214,5,6,1,1,18,1,6,25,31
7120733,119,6,85,1,1,1,204,8,212
2489568,54,6,124,1,0,1,178,7,185
6882173,17,7,41,1,29,1,58,37,95
8129977,6,9,26,1,66,1,32,76,108
3933523,42,9,24,1,1,1,66,11,77
3317105,18,10,13,1,1,1,31,12,43
5617904,9,11,22,1,0,1,31,12,43
5615912,4,11,5,1,2,1,9,14,23
2761463,57,13,50,1,7,1,107,21,128
3476877,61,13,37,1,0,1,98,14,112
3170547,46,16,53,1,2,1,99,19,118
1392259,26,18,15,1,4,1,41,23,64
6728037,27,18,32,1,0,1,59,19,78
8666108,22,18,15,1,0,1,37,19,56
1464404,78,21,240,1,52,1,318,74,392
6759871,54,21,57,1,0,1,111,22,133
1027228,61,23,70,1,0,1,131,24,155
2395685,11,24,7,1,7,1,18,32,50
7724259,68,24,43,1,0,1,111,25,136
7890756,124,25,7827,1,0,1,7951,26,7977
3122686,8,25,18,1,0,1,26,26,52
2775772,27,27,29,1,1,1,56,29,85
2098417,7,29,51,1,29,1,58,59,117
2786767,7,30,13,1,1,1,20,32,52
5848183,8,30,13,1,1,1,21,32,53
6744187,3,31,2,1,0,1,5,32,37
4562499,129,31,212,1,41,1,341,73,414
4487095,36,32,31,1,26,1,67,59,126
8174616,15,33,6,1,0,1,21,34,55
2969049,44,34,25,1,171,1,69,206,275
2011518,101,34,70,1,2,1,171,37,208
8272175,4,35,11,1,1,1,15,37,52
5283123,25,36,25,1,0,1,50,37,87
1967014,56,38,1891,1,0,1,1947,39,1986
3380441,109,38,301,1,33,1,410,72,482
4627428,48,40,87,1,210,1,135,251,386
3333614,142,40,5451,1,953,1,5593,994,6587
7349725,15,40,21,1,15,1,36,56,92
5701355,29,40,31,1,1,1,60,42,102
8704695,105,41,114,1,59,1,219,101,320
6348243,16,41,13,1,1,1,29,43,72
6364406,10,43,3,1,0,1,13,44,57
